ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,Unnamed: 14
1948003172,Help Us Make A New Record!,Rock,Music,USD,2012-04-10,2500.0,2012-03-02 08:49:46,2990.0,successful,68,US,2990.0,2990.0,
1609496953,TAGTOOL Stylus Titanium Pencil & Pens for iPad and iPhone,Product Design,Design,USD,2012-07-16,30000.0,2012-06-05 18:12:09,34496.0,successful,459,US,34496.0,34496.0,
1552474477,Letters to Momo | Book Launch!,Nonfiction,Publishing,USD,2013-05-01,10000.0,2013-04-01 06:02:18,12235.0,successful,241,US,12235.0,12235.0,
481275204,Urban Girl Chronicles: Love & Loyalty,Fiction,Publishing,USD,2014-08-07,15000.0,2014-07-10 16:16:38,35.0,failed,1,US,35.0,35.0,
164027613,The Fake Deep Disaster Fund,Electronic Music,Music,USD,2016-10-18,4274.0,2016-08-24 05:05:53,0.0,failed,0,US,0.0,0.0,
1059563658,Sustainable Clothing Company,Apparel,Fashion,USD,2018-01-21,2700.0,2017-12-22 23:42:57,0.0,live,0,US,0.0,0.0,
321349862,Chad Baker Debut EP,Country & Folk,Music,USD,2017-04-09,700.0,2017-03-10 02:02:36,700.0,successful,14,US,0.0,700.0,
630095952,Aerial Photography - By Pinnacle,Places,Photography,GBP,2014-10-31,350.0,2014-10-01 20:24:34,1.0,failed,1,GB,1.62442881,1.5969338869370808,
2009417734,The Derbyshire Mummified Fairy OOAK Kit & DVD Workshop,Taxidermy,Crafts,GBP,2014-05-01,5000.0,2014-04-01 01:02:35,9332.0,successful,162,GB,15526.93752248,15748.616173889563,
1342943862,Bacon Chips with flawors in sweden,Bacon,Food,SEK,2015-02-18,300000.0,2014-12-20 01:04:29,10.0,failed,2,SE,1.304785,1.1866055960319908,
1539384187,Tres Spades - Creative and Stylish Luxury Sunglasses,Design,Design,USD,2016-02-07,5000.0,2015-12-09 01:54:51,500.0,canceled,3,US,500.0,500.0,
764238557,(File) Phyle of a Scorpion: Legendary Scorpio,Fiction,Publishing,USD,2015-09-24,3500.0,2015-08-12 18:25:41,0.0,failed,0,US,0.0,0.0,
746862953,Cowboy ER (Canceled),Documentary,Film & Video,USD,2011-03-27,18000.0,2011-01-26 22:55:30,50.0,canceled,2,US,50.0,50.0,
613978533,Graffiti Gaming Dice by DougOutCrafts,Tabletop Games,Games,USD,2017-07-15,1000.0,2017-06-15 18:40:01,1712.0,successful,36,US,690.0,1712.0,
1221090542,Flavored PINK Cupcake Shoppe,Food,Food,USD,2015-02-01,1500.0,2015-01-14 00:17:38,21.0,failed,2,US,21.0,21.0,
1562191197,4.0 or How I killed my roommate for better grades,Drama,Film & Video,USD,2016-03-13,14000.0,2016-02-12 18:06:29,1230.0,failed,17,US,1230.0,1230.0,
